,index,Image_ID,Question,Ground_Truth,Question_Type
0,2,10165.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
1,3,10166.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2,5,10168.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
3,6,10168.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
4,7,10168.JPG,How many buildings can be seen in the image?,3,Simple_Counting
5,13,10170.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
6,14,10170.JPG,How many buildings can be seen in this image?,4,Simple_Counting
7,15,10170.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
8,16,10170.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
9,17,10170.JPG,How many buildings are non flooded?,4,Complex_Counting
10,18,10171.JPG,Is the entire road flooded?,No,Yes/No_Road
11,19,10171.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
12,20,10171.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
13,21,10171.JPG,How many buildings are in this image?,4,Simple_Counting
14,22,10171.JPG,How many buildings are non flooded?,4,Complex_Counting
15,23,10172.JPG,What is the condition of road?,non flooded,Condition_Road
16,24,10172.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
17,25,10172.JPG,How many buildings are non flooded in this image?,7,Complex_Counting
18,26,10172.JPG,Is the entire road flooded?,No,Yes/No_Road
19,27,10172.JPG,How many buildings can be seen in this image?,7,Simple_Counting
20,38,10175.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
21,39,10175.JPG,How many buildings are non flooded in this image?,1,Complex_Counting
22,40,10175.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
23,41,10175.JPG,How many buildings can be seen in the image?,1,Simple_Counting
24,42,10175.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
25,43,10176.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
26,44,10176.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
27,45,10176.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
28,52,10179.JPG,Is the entire road flooded?,No,Yes/No_Road
29,53,10179.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
30,54,10179.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
31,55,10180.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
32,56,10180.JPG,Is the entire road flooded?,No,Yes/No_Road
33,57,10180.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
34,58,10181.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
35,59,10181.JPG,What is the condition of road?,non flooded,Condition_Road
36,60,10181.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
37,61,10182.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
38,62,10182.JPG,Is the entire road flooded?,No,Yes/No_Road
39,63,10182.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
40,67,10184.JPG,What is the condition of road?,non flooded,Condition_Road
